trajectory_idx,fitted_W,fitted_D,v0,direction,r2,rmse,model_type,success
44,0.39278392467063944,2.154496446803514,0.76,1,0.6811196081925083,0.1452471277564341,SAM,True
45,0.4152095003347529,3.795198273361303,1.14,1,-110.72134101315295,0.3910480603605561,SAM,True
46,0.0648743272436738,2.0000000000000004,0.65,2,-15.938220631228454,0.14479159180517967,SAM,True
0,0.24834692979255962,3.647153288547532,0.81,1,-478.90563538731203,0.28153368313679344,SAM,True
1,0.3993554682916242,3.8680348798320865,0.94,1,-57.2231576514487,0.3105455029581874,SAM,True
2,0.225745284787275,3.514164550288491,0.9,2,-187.31878674759548,0.32387275930280196,SAM,True
3,0.5605424524000094,3.7461092787576,1.12,2,-29.90546610786955,0.3731325348951871,SAM,True
4,0.38267472185649226,3.743905260001465,0.94,2,-34.316435653363165,0.2992528012410068,SAM,True
5,0.2537776042084673,3.648542664553741,0.85,2,-351.0507486508958,0.3012092270081087,SAM,True
6,0.30971950162038686,3.6847109241020686,0.8,1,-81.09760097589722,0.2781686716648604,SAM,True
7,0.27376489808566673,2.0000000000000004,1.54,2,-3.0054212977602743,0.30847228651559405,SAM,True
8,0.2083371330271074,2.527420203350951,1.09,2,-1.1485352564784272,0.25066025185639523,SAM,True
9,0.35777533299568637,3.63372704695313,0.7,2,-11.551356531605265,0.2417966074481522,SAM,True
10,0.02814965824363693,2.4882702470279408,0.39,1,-11.681517176730425,0.10474512590388203,SAM,True
11,0.23797872555768856,2.0000000000000004,0.64,2,0.3657144324183962,0.12500919754670545,SAM,True
12,0.3028069326572368,3.8311687231907703,0.76,2,-78.27718667535018,0.26080610837833235,SAM,True
13,1.2104047760537548,5.59475041767938,0.75,1,0.8561565352474659,0.08006824226676582,SAM,True
14,0.06819088279832061,2.0000000000000004,0.8,1,-97.32742328707756,0.17130334557677332,SAM,True
15,0.4208848340285531,3.664029491952323,0.68,2,-5.791004715422359,0.22560096637682484,SAM,True
16,0.2054519784153935,3.5638440597926695,0.91,2,-848.8473802989597,0.31423520986187425,SAM,True
17,0.3191228374188872,3.5075749871416724,0.95,2,-37.095324944723714,0.3423597113810678,SAM,True
18,0.18077537010785302,2.0000000000000004,0.85,1,-2.660826792500419,0.17506445472563328,SAM,True
19,0.24729808620357432,2.0000000000000004,1.27,1,-3.117828746902835,0.2559344966786097,SAM,True
20,0.25854468154707255,2.4339832999923052,0.7,1,0.022630722417896654,0.16171896542278424,SAM,True
21,0.055962776547139034,2.0000000000000004,0.77,1,-146.0475960909601,0.16392970501291992,SAM,True
22,0.3481928465684495,3.582597429397106,0.72,2,-13.220674046121154,0.2354814802664596,SAM,True
23,0.09112985110758857,2.0000000000000004,1.11,1,-117.69672582719126,0.23543867770886384,SAM,True
24,0.0868245093243968,2.456308895666439,0.8,2,-5.756358544415991,0.19724145993201933,SAM,True
25,0.37572464680211226,3.8340977161951413,0.58,1,-11.427334374684861,0.17370540539008808,SAM,True
26,0.33301924411010025,3.5816953379048733,1.22,2,-203.766508572791,0.44586490911800686,SAM,True
27,0.42760494277038696,3.5923507915827746,1.08,2,-32.12913213671843,0.3714492604197754,SAM,True
28,0.373485473420347,4.0704692165424525,0.65,2,-13.109825437951104,0.1892983810687195,SAM,True
29,0.20191838355022046,3.707063792167146,0.64,1,-275.7011315258694,0.2280785231600367,SAM,True
30,0.303222985536066,3.5864618332906755,1.09,1,-231.012624047098,0.39276903372740096,SAM,True
31,1.508992636617681,3.9728714707948334,1.05,1,0.2696661416756393,0.31158255531081636,SAM,True
32,0.3119879195326288,3.5533825087213713,1.24,2,-505.7906854744698,0.4253281122697711,SAM,True
33,0.35194659982040105,3.6301665976417143,1.06,2,-53.54998253137474,0.3239418881457458,SAM,True
34,0.4519586846302283,3.8158341577961568,1.16,1,-104.6711172539333,0.38017460111801227,SAM,True
35,0.4007768605118873,3.6559272558501785,1.29,2,-329.7471074180022,0.45289747861557833,SAM,True
36,0.27168908872700964,3.6774484958729445,0.67,2,-37.826882551653675,0.24655960390937867,SAM,True
37,0.34794521755785657,3.7541773644539314,1.02,2,-163.0598558516262,0.3559288975203717,SAM,True
38,0.28948305884368036,3.6585036961721484,0.89,1,-181.85208453786524,0.30992584359582853,SAM,True
39,0.17962619843540456,3.7677019553169067,0.49,1,-112.20258786461297,0.174992662826921,SAM,True
40,0.29981032527746365,3.708420647236094,0.85,2,-97.62968139940689,0.3136702487912941,SAM,True
41,0.08942731934511411,2.0000000000000004,1.15,1,-110.42087081281066,0.24300835691553802,SAM,True
42,0.2885689757460166,3.725838926347034,0.8,1,-154.04124387729095,0.28098612604908385,SAM,True
43,0.5507466141295686,3.826010940938687,0.94,2,-19.189369863700442,0.297392604480543,SAM,True
0,0.29131330677819567,4.20633632464375,0.44,1,-7.202480285603096,0.13788265583882553,SAM,True
1,0.3349554910436224,3.824449749140685,0.81,1,-58.194148528279705,0.26669330907549915,SAM,True
2,0.5252465574909815,3.7661657888605253,0.97,2,-17.27648686454847,0.3372994929835288,SAM,True
3,0.8796748755267197,4.007178192489517,1.16,2,-7.585731097491173,0.36913030735242186,SAM,True
4,0.3975458446087047,3.8319007039526185,0.82,1,-55.892298364879835,0.260156402625028,SAM,True
5,0.24008412646524524,2.0000000000000004,0.83,1,-0.5130006510754843,0.16178737077939687,SAM,True
6,0.33465811885035357,3.685836968970525,1.09,1,-146.19680955124966,0.3541018642257291,SAM,True
7,0.9362034481567386,4.227750661131889,0.54,2,0.6205153752565153,0.11050941735135061,SAM,True
8,0.2509521112424072,2.630222338687094,0.58,1,0.626501108465962,0.10756542021825984,SAM,True
9,1.0785804846379634,3.938444667847956,1.27,2,-3.8957482415418214,0.37894711034830003,SAM,True
10,0.5703031396690933,3.9383464529917176,1.19,1,-35.69655708857448,0.39426532686113547,SAM,True
11,0.1988348082519988,3.441259562546159,0.66,1,-12.231011214861528,0.19349672665371628,SAM,True
12,0.48712242024097957,3.8036099842581494,0.92,1,-19.129958531875847,0.331616890643484,SAM,True
13,0.5646813082810013,3.9400684399724475,0.88,1,-16.485058931373196,0.26063279522804655,SAM,True
14,0.5112371451964276,3.8819140199270934,0.76,2,-11.90257732986688,0.24968618152702002,SAM,True
15,0.5711264557098081,3.96791277459876,0.84,1,-15.913280594428482,0.2348190811299882,SAM,True
16,0.6726667656914536,3.984738013944327,0.88,2,-7.825086122042986,0.2669833934103018,SAM,True
17,0.26747410976001923,3.6746833425561722,0.45,2,-7.975877466916472,0.1428459030015068,SAM,True
18,0.27344295936286067,2.0000000000000004,0.91,1,-0.0569109068667657,0.17853380388399256,SAM,True
19,0.2520523833784199,3.6216225440905006,0.86,2,-232.3198411511046,0.29714905465981895,SAM,True
20,0.7740267499862813,2.096549311438209,1.39,2,0.7394073886512583,0.21825781838553304,SAM,True
21,0.27543221421923214,3.7207883819161944,0.77,2,-70.0799751819072,0.23931861775167748,SAM,True
22,0.5741721094690648,3.701891811424561,1.44,2,-145.6066474546349,0.4822302335255096,SAM,True
23,0.48079804953704985,3.840709845854925,0.74,1,-12.532949563751432,0.23163497530140711,SAM,True
24,0.05492608972757799,2.0000000000000004,0.59,1,-48.42338733620991,0.12890170126325104,SAM,True
25,2.2382152940425146,3.8939400199428515,1.4,2,0.5660067614038798,0.3756698660481909,SAM,True
26,0.12297465549359543,2.0000000000000004,0.88,2,-15.191354198405573,0.1943381206789674,SAM,True
27,0.6003952930969774,4.0484973587107795,0.93,1,-15.280409085243793,0.2892803027223811,SAM,True
28,1.2009621870385203,3.858602370885447,0.96,2,-0.03073582164801203,0.2928803630201282,SAM,True
29,0.0867824271804346,2.0000000000000004,0.92,1,-43.08727850886946,0.19414989634892493,SAM,True
30,0.1628636343443109,3.7841400513498615,0.45,1,-19.588466901225612,0.12572835401011187,SAM,True
31,0.4591189733549181,4.089945665551428,0.48,1,-3.3196905448111513,0.1413186686690499,SAM,True
32,0.24648420563222304,3.666295420869068,0.7,1,-124.47754932980983,0.2421506010261247,SAM,True
33,0.15041072407027903,2.6806043161371793,0.49,2,-0.3899313784097518,0.11180184652338662,SAM,True
34,0.19417310697348764,3.6300643682373273,0.8,1,-997.5622945239157,0.2808494893077861,SAM,True
35,0.17734798564083976,2.0000000000000004,0.75,2,-1.5213669251429738,0.1465739991520051,SAM,True
36,0.33842100820995497,3.917742253441996,0.71,1,-14.56545308447275,0.19448846545517315,SAM,True
37,0.39529989255387893,3.808126292793707,0.75,2,-26.760437325709596,0.26008699631743004,SAM,True
38,0.5212591571839702,3.656704224439318,0.8,1,-4.703231799390627,0.2715641076982934,SAM,True
39,0.586139858579278,4.101874367936732,0.58,1,-1.0278779051767328,0.10408133247347531,SAM,True
40,0.19949553157355795,2.0000000000000004,1.27,2,-5.141480650610924,0.2663598155825706,SAM,True
41,0.27310463634609405,3.5385020301458456,1.02,2,-142.66652443269953,0.32938004279342326,SAM,True
42,0.7324034204625627,3.890932985389334,0.93,2,-5.3038212089713515,0.29437880751266304,SAM,True
43,0.1886729509312678,3.521136373477977,0.55,1,-36.2598320464496,0.19232706066519303,SAM,True
44,0.2843709778852256,3.6310069398380116,0.75,1,-25.193476785303524,0.20797991640656652,SAM,True
45,0.24935862048818788,3.5581686321597386,0.53,1,-10.824128450636286,0.18348558302706292,SAM,True
46,0.44559573725079626,3.911147070379035,0.9,1,-33.94630426022178,0.26382362225192485,SAM,True
47,0.5493477155142515,3.968799807982302,0.9,2,-23.117150471294963,0.27360973657648113,SAM,True
48,0.18711804391239836,3.612981686346116,0.71,1,-798.9214932281184,0.25239997567489453,SAM,True
49,0.40131427478108733,3.893614541746252,0.91,1,-41.10976497881666,0.3192292524806201,SAM,True
50,0.5155690139502958,4.035060135794316,0.65,1,-7.964351944079537,0.185679556163111,SAM,True
51,0.4740748002192401,3.925605687269022,0.57,1,-4.15340726010923,0.18216695412910316,SAM,True
52,0.24611043045685863,3.6971252520956157,0.31,1,-2.0301984293796083,0.09841978209329683,SAM,True
53,0.5446344978415081,3.711847728126889,1.12,2,-5.644653324866457,0.26943045694136514,SAM,True
54,0.34998616682617,3.718138654697681,1.11,2,-233.62880641485677,0.37842837933137624,SAM,True
55,0.27234301296668456,2.0000000000000004,0.68,2,0.3460474213882627,0.12017049161232718,SAM,True
56,0.9139490128206142,4.144533790145308,1.07,2,-5.2865185168368765,0.35402587429477067,SAM,True
57,0.2737581698045345,3.7594509131556753,0.81,1,-35.65779958646395,0.23986791348350528,SAM,True
58,0.5121995043235513,3.8583221404971675,0.95,2,-34.655718995703346,0.32100627392246195,SAM,True
59,0.3324177234590442,3.918766755876596,0.71,2,-28.47520821027787,0.2187135344612721,SAM,True
60,0.2357533218333445,3.7660620707578785,0.6,1,-36.54422857767669,0.17476979888314412,SAM,True
61,0.13231733304971854,3.597544919972853,0.59,1,-1728.1837185987365,0.20775087392409317,SAM,True
62,0.1612006301878439,3.6532394222470086,0.5,2,-84.10233488304226,0.16660425428377593,SAM,True
63,0.38541508598256136,3.788422935568561,1.0,1,-89.26113633104997,0.3531918754090534,SAM,True
64,0.3835862012995612,2.0000000000000004,1.31,2,-0.12370792836201816,0.266176228997304,SAM,True
65,0.701310283587866,3.9173689398983695,1.1,2,-22.293962067835487,0.3268893163341415,SAM,True
66,0.2900935824627091,3.816213159534695,0.8,1,-71.11923419066198,0.2640874556500891,SAM,True
67,0.2099381817065635,3.6677336573910817,0.73,1,-783.2545768262327,0.25599279763227717,SAM,True
68,0.29164759598274387,2.0000000000000004,0.74,2,0.44088949675943945,0.1270478744325654,SAM,True
69,0.12214976629506565,2.0000000000000004,0.76,1,-4.855083794838191,0.1538680689079314,SAM,True
70,0.22328420562332604,3.6225185370332866,0.83,2,-65.51231633303225,0.2561855346065027,SAM,True
71,0.8433946061085812,3.7994764158771126,1.44,2,-16.709975831088805,0.46410830465212294,SAM,True
72,0.29381832826938886,3.9909745770737337,0.5,1,-18.947545991626807,0.14848643729312458,SAM,True
73,0.16293254127568066,3.6328595183628405,0.42,1,-62.20066639601983,0.13786805438027683,SAM,True
74,0.4905069553988997,3.8085115077588165,0.68,1,-6.395338364404412,0.21576964380071606,SAM,True
0,0.537031714072281,3.888725005009134,0.88,2,-19.90782189291424,0.2685969492482574,SAM,True
1,0.11827533944600134,2.0000000000000004,0.79,2,-7.569336102392134,0.15701585896520825,SAM,True
2,0.2145738104412394,3.6956011659966754,0.72,1,-236.90158337067678,0.25991254993542995,SAM,True
3,0.2984555863277859,2.4671908352202228,0.83,2,0.30306440986575245,0.16299990445097895,SAM,True
4,0.10659591330312519,2.0000000000000004,0.86,1,-10.260894088349012,0.18084963706340246,SAM,True
5,0.6139675739560595,3.7571647834242077,1.32,2,-46.831156305064134,0.45979538669078795,SAM,True
6,0.30832247792888295,2.4825746166128893,1.07,1,-0.8306061526895798,0.2608538110764375,SAM,True
7,1.3012073797383223,3.5800537346202552,1.5,1,-0.8804361576361832,0.5161012227863134,SAM,True
8,0.3701210010045543,2.527303826251124,1.0,1,0.1373744352578966,0.23361183493933996,SAM,True
9,0.6066702146091737,3.8132587550034645,1.25,1,-50.96411426642333,0.38805114210089914,SAM,True
10,0.08510888985007505,2.0000000000000004,0.94,2,-23.52583526001557,0.2106911976975255,SAM,True
11,0.4595385936963981,3.9846534728055025,0.78,1,-24.226184906983043,0.24493399250397646,SAM,True
12,0.5017110595656517,3.87370618240236,1.24,2,-49.372298603464735,0.40999006904652685,SAM,True
13,0.13792618732538925,2.0000000000000004,0.87,1,-6.136747414629498,0.17918768545415756,SAM,True
14,0.26524908688410775,2.0000000000000004,1.17,2,-1.868653605400453,0.244130482222079,SAM,True
15,0.3237864432055241,3.841946012039389,0.79,1,-29.18835733385399,0.2373546093356204,SAM,True
16,0.1572945061330601,3.660948182794332,0.53,1,-111.62851833803286,0.17067583303721948,SAM,True
17,0.09862845211714566,2.0000000000000004,0.99,1,-32.84412988217611,0.21028647522547078,SAM,True
18,0.21617480464393665,3.5944382581775978,0.72,1,-105.06879679567119,0.23051295938137492,SAM,True
19,0.26707462717956987,3.671837996800312,0.87,1,-159.98273592649443,0.282034004419042,SAM,True
20,0.6453086009247483,3.91235002969149,0.69,2,-2.108030732502405,0.23437328747391478,SAM,True
21,0.07417961218302797,2.6324345872509816,0.72,2,-3.5918095465058295,0.1750145103779293,SAM,True
22,0.11043267331488364,2.0000000000000004,0.44,2,-0.41131301227980344,0.085324511642174,SAM,True
23,0.2831933004169754,3.383015396032897,0.91,2,-6.568945528002173,0.26415603642633867,SAM,True
24,0.07462941900013911,2.0000000000000004,0.7,2,-15.973944795394704,0.15406830744728706,SAM,True
25,0.2333790845474676,3.5811010400090115,0.79,1,-121.1062727632359,0.28886422858409605,SAM,True
26,0.28575662707108185,2.6001697451361037,1.73,1,-2.0633983469812773,0.3499455988795802,SAM,True
27,0.09304233626832133,3.495632813816152,0.36,1,-82.41145491778896,0.12702406008035286,SAM,True
28,0.4337364353342674,4.38994182508363,0.37,2,-1.6304165400499242,0.12686801214017696,SAM,True
29,0.11306152085717232,2.0000000000000004,0.68,1,-5.69067957017636,0.14808817418674172,SAM,True
30,0.3600667985067586,3.760896386133396,0.99,1,-135.08617400032836,0.35239181976464723,SAM,True
31,0.3935101634439705,2.0000000000000004,0.81,1,0.6989385953230118,0.145576578452978,SAM,True
32,0.36507136030250015,3.6486806627283492,1.16,1,-198.3004450926398,0.4181486260699942,SAM,True
33,0.23159560763754267,3.6631310593819215,0.84,2,-270.82333382726404,0.28672329707004574,SAM,True
34,0.7743889583301247,3.915429410251641,1.21,2,-14.620529705931753,0.377623907724936,SAM,True
35,0.20920686561564159,2.0000000000000004,1.99,2,-23.491518069855985,0.40507931621491605,SAM,True
36,0.3261262263124972,3.8711271783371752,0.54,1,-14.388717007122171,0.13785886080987278,SAM,True
37,0.17404701363658506,2.0000000000000004,0.92,1,-3.0717043481023563,0.18748345641182343,SAM,True
38,0.25814208585602905,2.0000000000000004,0.51,2,0.7226596591710365,0.08745139149187009,SAM,True
39,0.5339317735170666,4.007417301118267,1.02,1,-21.986437288822223,0.34914288589715026,SAM,True
40,0.5611981475468761,2.0000000000000004,0.97,2,0.7653242504937476,0.16402583348859,SAM,True
41,0.4013459123071045,3.513428411618789,1.29,1,-18.475594369257763,0.3738761185234167,SAM,True
42,0.08301319231518359,2.5023544491555176,0.91,1,-10.840639613440615,0.22088473456886706,SAM,True
43,0.06854590071602704,2.0000000000000004,0.6,2,-18.127017829484636,0.13874507495513674,SAM,True
44,0.28235581281649486,3.5258875542994774,1.18,1,-374.4222620713071,0.41438434870153484,SAM,True
45,0.11729207125149368,2.0000000000000004,0.87,2,-13.653619951164995,0.18119487309740498,SAM,True
46,0.4206982208584716,2.773672205854237,0.83,2,0.6011532750360353,0.20063897626667138,SAM,True
47,0.36590800233824383,2.0000000000000004,1.18,1,-0.12070717831660338,0.22650268042399557,SAM,True
48,0.10842150955688175,2.0000000000000004,1.17,2,-27.90702262193508,0.2627460035004893,SAM,True
49,0.3485555208473406,3.8136048781355436,0.92,1,-103.66359047630246,0.3123427273346801,SAM,True
50,0.07989539454316187,2.0000000000000004,0.84,1,-31.681895353160456,0.1876123697823622,SAM,True
51,4.4379755095188065,5.465975543413175,1.41,2,0.9746857877763547,0.12102135373154795,SAM,True
52,0.25602036293298935,3.56751014476881,0.78,1,-61.165022930056445,0.27595679569330994,SAM,True
53,0.3206611656188372,3.749021297473102,0.89,1,-48.59352640039399,0.2654430308622921,SAM,True
54,0.17293962627807866,2.0000000000000004,0.58,1,-0.2775006328328107,0.12025575948260037,SAM,True
55,0.07082814122865998,2.5665567398490503,0.58,2,-4.468002728122746,0.1398466205437691,SAM,True
56,0.5797035063118495,3.8117200435627594,0.78,1,-5.325880968083283,0.2547637157710835,SAM,True
57,0.5762028015164005,3.5891345937093946,1.07,2,-7.809927181716622,0.3685382542948964,SAM,True
58,1.2023787637766226,4.184679993862009,1.29,1,-3.584112428096004,0.36916987410307833,SAM,True
59,0.22342768130932417,3.6113225490158594,0.87,2,-585.5107720563677,0.30302496014873914,SAM,True
60,1.0807218185388943,3.887460129816102,1.31,1,-3.7656778151362715,0.36919766531789777,SAM,True
61,0.32763534493966917,2.3295669473777436,1.05,1,0.030707555729784675,0.177903122670389,SAM,True
62,0.40667706768313683,3.88643378024252,0.92,1,-47.93897728872244,0.3141782290870289,SAM,True
63,0.37710968617529467,3.570638119700104,1.22,1,-56.3665254057209,0.379100137308638,SAM,True
64,0.5683431548441145,4.325553419914556,0.57,1,-2.629019557842563,0.22633724069526523,SAM,True
65,3.13201233159292,5.199691195166348,1.22,2,0.9769388382496833,0.07680547604919415,SAM,True
66,0.6271764842620358,3.679739612486916,0.79,2,-1.5645195044380347,0.1888087511248274,SAM,True
67,0.0888541899165778,2.0000000000000004,1.07,1,-68.6840812869834,0.2330847423890799,SAM,True
68,0.38695125634538086,3.648721388028619,0.89,1,-24.582487747140867,0.31882471828516074,SAM,True
69,0.15732834798412662,2.0000000000000004,0.77,1,-2.4785364308216584,0.14823495392525218,SAM,True
70,0.5243489452403786,2.716264472359426,0.82,2,0.6954034005774976,0.18405699640770842,SAM,True
